,Other Proteobacteria,Acinetobacter,Pseudomonas,Enterobacteriaceae,Other Firmicutes,Staphylococcus,Enterococcus,GPAC,Other Bacteroidetes,Alistipes,Parabacteroides,Bacteroides
1,0.007797755767852179,0.0,0.0,0.0,0.017833891709215396,0.0,0.0006583471098561877,0.0,0.0,0.0,0.14865477740552718,0.825055228007549
2,0.021970196492153503,0.0047738362125807725,0.0,0.0,0.03729394698668073,0.0,0.02012396149281287,0.0,0.001951734142160095,0.0017671106422260318,0.5869708558617961,0.32514835816958987
3,0.010153157804164516,0.0,0.0,0.0,0.07743933918430562,0.0,0.0,0.0012046119428669765,0.07606263982102908,0.22732748236103942,0.015143692996041989,0.5926690758905524
4,0.02908229211546747,0.0,0.0,0.0,0.07173632055148643,0.0,0.0,0.0,0.00904782421370099,0.01971133132270573,0.038991813873330464,0.831430417923309
5,0.0,0.0,0.0,0.0,0.0988538681948424,0.0006512112529304506,0.0,0.004949205522271425,0.0015629070070330815,0.0,0.052357384735608234,0.8416254232873144
6,0.00010482180293501048,0.0,0.0,0.0,0.1194706498951782,0.0,0.0,0.0004716981132075472,0.008595387840670859,0.009931865828092244,0.05047169811320755,0.8109538784067086
7,0.05125815470643057,0.0,0.0,0.0,0.08988298643471057,0.0,0.0,0.028062545303924616,0.07455731593662628,0.08408408408408409,0.03903903903903904,0.6331158744951848
8,0.028680747814726102,0.0,0.0061280990450119765,0.0,0.12449062120882197,0.0003732852210159579,0.00046660652626994743,0.0373285221015958,0.026161072572868385,0.058201387376738106,0.060596634211590505,0.6575730239213613
9,0.010641766711130873,0.0,0.0,0.004624277456647399,0.1861271676300578,0.0014228546020453535,0.0,0.007884985919668,0.046153846153846156,0.09304876241292426,0.06515488365199348,0.5849414554616866
10,0.04903044308248769,0.0,0.00010047221943132724,0.023543990086741014,0.048528081985331054,0.0,0.0,0.09745805284838742,0.040724739609497976,0.012291101510432365,0.061388526072540944,0.6669345925851502
11,0.0014759120022277917,0.0,0.0009189640768588137,0.0,0.28256752993595097,0.0,0.0,0.0,0.12489557226399331,0.24564188248398774,0.03383458646616541,0.3106655527708159
12,0.05776321179844326,0.01638672675133142,0.0,0.0,0.2376075378943056,0.013928717738631708,0.0,0.0,0.35845964768537486,0.004096681687832855,0.0,0.3117574764440803
13,0.0,0.0,0.0,0.0,0.22370798698951933,0.0,0.0008432718949524154,0.10866160703529695,0.15564389832550296,0.04240452957475003,0.01397421997349717,0.45476448620648113
14,0.06368229020488353,0.0,0.0,0.0,0.27097951164748807,0.00019646365422396856,0.0,0.000140331181588549,0.0,0.0,0.021218074656188603,0.6437833286556273
15,0.024597731469269322,0.0,0.0,0.0,0.3608546557636508,0.0,0.0,0.0,0.014771828013716697,0.1628857821155368,0.053152202585069905,0.38373780005275654
16,0.10996007337865545,0.10434876443293406,0.015215280025898349,0.0,0.1440595662026546,0.13985108449336356,0.0,0.0,0.20578396460558973,0.0,0.16823135858422358,0.1125499082766807
17,0.0,0.0,0.0,0.0,0.6000650300764103,0.0,0.0,0.01495691757437815,0.0,0.06600552755649487,0.0,0.31897252479271665
18,0.015751789976133652,0.0003712543092018032,0.0,0.0,0.11148236542031291,0.0,0.0,0.4912755237337576,0.08061522142667728,0.04455051710421639,0.00954653937947494,0.24640678865022542
19,0.021620203836930457,0.0031849520383693047,0.16468075539568344,0.0,0.11304706235011991,0.6063773980815348,0.0,0.0,0.061338429256594725,0.0,0.0,0.029751199040767385
20,0.0,0.0005202298470051314,0.0,0.0,0.9719075882617229,0.0,0.0,0.002151859821703043,0.002435621556433115,0.0010641065052377687,0.0,0.021920594007898034
21,0.0,0.0,0.0,0.0,0.990381833960081,0.0,0.004483656349435927,0.0,0.0,0.0013017066820943013,0.002531096326294475,0.0013017066820943013
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,0.0,0.0,0.0,0.0,0.05827902843601896,0.0,0.0,0.0,0.0,0.011329976303317536,0.02248716429699842,0.9079038309636651
24,0.0,8.248632101843111e-05,0.0,0.0040051691427838215,0.03194053652769249,0.0006232299810281462,0.018504431348468044,0.01692802610233803,0.00014664234847721087,0.0,0.0,0.9277694782281938
25,0.0,0.0,0.0,0.0,0.08928382243881768,0.0,0.0,0.033186778260408945,0.0008740332662358301,0.01541476851361373,0.0551700391990677,0.8060705583218561
26,0.0007848061528802386,0.0,0.0,0.00204049599748862,0.08868309527546696,0.0,0.0049181185580494955,0.04912886517030293,0.0019881755872966046,0.315805995919008,0.09318265055198033,0.4434677967875268
27,0.0,0.0,0.0,0.0,0.1505559128916659,0.0,0.0,0.015988238537168062,0.01001562069282367,0.21244142240191125,0.04341633740696499,0.5675824680694661
28,0.011588706278971767,0.0,0.0,0.0,0.1146228402865571,0.0,0.0,0.04143840427026268,0.02373928922601489,0.3352999016715831,0.06890012642225031,0.40441073184436016
29,0.0,0.0,0.0,0.0,0.16817007580570026,0.0,0.0,0.01609283022064117,0.0,0.0,0.0,0.8157370939736586
30,0.0,0.0,0.0,0.0,0.18454773869346733,0.0,0.0,0.0,0.08241206030150754,0.037311557788944724,0.14974874371859295,0.5459798994974875
31,0.04657646576465765,0.0,0.0,0.0,0.14661746617466176,0.0,0.0,0.023698236982369825,0.026404264042640426,0.009512095120951209,0.016195161951619515,0.7309963099630996
32,0.007714292353091526,0.0,0.0,0.1801937867416409,0.04421776610823245,0.0,0.0,0.0,0.0015103283221414132,0.0026488835188326326,0.10913864813997258,0.6545762948160885
33,0.001160169716255635,0.0,0.0,0.0294351630867144,0.09705648369132856,0.0,0.0,0.1253977724741448,0.22755900291699815,0.17316361707769823,0.041931848316096525,0.3042959427207637
34,0.18276631344116007,0.0,0.0,0.009564974902398216,0.10750139431121027,0.0,0.0,0.0008365867261572784,0.027189068600111544,0.006832124930284439,0.020217512548800894,0.6450920245398774
35,0.001133694528827785,0.008787698474836366,0.0006200870627290094,0.0,0.07551282452788825,0.019911684569853746,0.0,0.21654191851179105,0.027997870408067397,0.006852275218439761,0.05687889511759732,0.5857630515799693
36,0.03144243328979287,0.0005598059339428998,0.0,0.0,0.22989363687255085,0.0,0.004478447471543199,0.153666728867326,0.03722709460720284,0.027057286807240157,0.022298936368725507,0.4933756297816757
37,0.015832141154029564,0.0,0.0,0.0279446828803052,0.24949928469241775,0.0,0.0,0.1536480686695279,0.2977587029089175,0.052551263710061996,0.026895565092989987,0.17587029089175013
38,0.0,0.0005893137768465165,0.0,0.0,0.196503404924044,0.006744368779465689,0.0,0.26990570979570455,0.01636982713462546,0.0,0.0,0.5098873755893137
39,0.013693701320690824,0.0,0.0,0.0005291229258381307,0.1022688791059939,0.0,0.0,0.3712961395191331,0.19465374195733154,0.030625634947511006,0.04772688791059939,0.23920589231290212
40,0.0,0.0,0.0,0.0,0.3620689655172414,0.1896551724137931,0.034482758620689655,0.0,0.0,0.0,0.0,0.41379310344827586
41,0.04721874441065999,0.0,0.0,0.024145948846360222,0.3385798604900733,0.0,0.03523519942765158,0.1783223037023788,0.08388481488105884,0.011446968341978178,0.032552316222500446,0.24861384367733858
42,0.027310574521232308,0.0398834304746045,0.01074104912572856,0.0,0.5554537885095754,0.05553705245628643,0.05645295587010824,0.006328059950041632,0.0034970857618651123,0.19059117402164863,0.0,0.05420482930890924
43,0.005179344465058751,0.0,0.0003349824778396207,0.003839414553700268,0.38461142032570605,0.2787054215625644,0.0030148423005565863,0.15965780251494538,0.007086167800453515,0.021722325293753866,0.011028653885796743,0.12481962481962482
44,0.0,0.0,0.866790829674959,0.0,0.025719480289122434,0.0,0.0,0.005809055030819033,0.005542991441621214,0.008824442375060974,0.011485078267039156,0.07582812292137821
45,0.0,0.6319787772820451,0.006390932111419269,0.0045821777402628725,0.02447847582298324,0.0,0.24900518509586397,0.02833715181478355,0.0032557578680815144,0.0026528397443627157,0.0,0.04931870252019776
46,0.023010936293043866,0.07826157661503436,0.0029271862422246614,0.0,0.0662682440948083,0.054478188396958976,0.0,0.7269179168191243,0.011993332520226043,0.0,0.0,0.0361426190185795
47,0.0,0.0,0.0,0.0,0.9722685839003723,0.0,0.0038515855693927333,0.0007703171138785466,0.0,0.0005135447425856978,0.0016690204134035178,0.020926948260367183
48,0.0,0.0,0.0,0.0,0.9904153354632588,0.0,0.0,0.0,0.009584664536741214,0.0,0.0,0.0
49,0.0,0.0,0.058109280138768434,0.14310494362532525,0.6643538594969645,0.0,0.0,0.12749349522983522,0.006938421509106678,0.0,0.0,0.0
50,0.0004800192007680307,0.003560142405696228,0.0,0.0,0.499819992799712,0.49249969998799953,0.0018000720028801152,0.0,0.0018400736029441178,0.0,0.0,0.0
51,0.0,0.00042877775771799965,0.0,0.7847084311247517,0.012953601733164831,0.0,0.20075825961364868,0.0,0.0,0.0,0.0,0.0011509297707167358
52,0.0,0.0,0.0,0.09837258877970155,0.8997556283471118,0.0012478552487911402,0.0,0.0006239276243955701,0.0,0.0,0.0,0.0
